구,업종명,사업장명,인허가일자,영업상태,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지지번주소,소재지도로명주소,데이터기준일자
분당구,제과점영업,도넛플랜트뉴욕시티(야탑점),2015-10-02,영업중,-,-,-,-,142.44,경기도 성남시 분당구 야탑동 341번지 성남(분당)여객자동차터미널 지하1층 502호,"경기도 성남시 분당구 성남대로925번길 16, 지하1층 502호 (야탑동, 성남(분당)여객자동차터미널)",2021-03-31
중원구,제과점영업,우리베이커리 모란역점,2015-10-12,영업중,-,-,-,-,64,경기도 성남시 중원구 성남동 1575 모란역사 맞이방내 지하1층 일부,"경기도 성남시 중원구 성남대로 지하 1147 (성남동, 모란역사 맞이방내 지하1층 일부)",2021-03-31
수정구,제과점영업,뚜레쥬르 성남복정점,2005-11-30,영업중,-,-,-,-,56.88,경기도 성남시 수정구 복정동 711-4번지,경기도 성남시 수정구 성남대로1390번길 5 (복정동),2021-03-31
분당구,제과점영업,파리바게뜨 분당롯데점,2004-05-11,영업중,-,-,-,-,52.37,경기도 성남시 분당구 수내동 20-6번지 1층일부,"경기도 성남시 분당구 백현로101번길 11 (수내동,1층일부)",2021-03-31
분당구,제과점영업,소금과 빛,2015-01-16,영업중,-,-,-,-,22.94,경기도 성남시 분당구 정자동 130-3번지 한라프라자 1층 116호,"경기도 성남시 분당구 정자로76번길 11, 116호 (정자동, 한라프라자 1층)",2021-03-31
분당구,제과점영업,뚜레주르 성남하나로,2016-10-28,영업중,-,-,-,-,117.81,경기도 성남시 분당구 구미동 174번지 농수산물종합유통센터 1층 일부,"경기도 성남시 분당구 성남대로43번길 11 (구미동, 농수산물종합유통센터 1층 일부)",2021-03-31
수정구,제과점영업,파리바게트 호반점,2016-11-02,영업중,-,-,-,-,119.29,"경기도 성남시 수정구 창곡동 513 에이플 타워 1(일부)층 101,102호","경기도 성남시 수정구 위례동로 153, 1(일부)층 101,102호 (창곡동, 에이플 타워)",2021-03-31
분당구,제과점영업,빵쇼(Pain Chaud),2017-12-20,영업중,-,-,-,-,13.86,경기도 성남시 분당구 수내동 51번지 파크타운 제분산상가동 1층 03호,"경기도 성남시 분당구 내정로 186, 1층 03호 (수내동, 파크타운대림아파트)",2021-03-31
분당구,제과점영업,봉봉쇼콜라(BONBON CHOCOLAT),2017-12-21,영업중,-,-,-,-,35.89,경기도 성남시 분당구 삼평동 709번지 에메트타운 1층 110호,"경기도 성남시 분당구 판교로 375, 에메트타운 1층 110호 (삼평동)",2021-03-31
중원구,제과점영업,파리바게뜨,2006-09-13,영업중,-,-,-,-,75.55,경기도 성남시 중원구 상대원동 2992-2번지 (1층),"경기도 성남시 중원구 금상로 55, 1층 (상대원동)",2021-03-31
