업종명,업소명,소재지(도로명),소재지전화,관할기관,기준일자
건강기능식품일반판매업,인셀덤,경기도 구리시 벌말로 86-19  1층 (토평동),,구리시청,2021-05-07
건강기능식품일반판매업,제이탑,경기도 구리시 한다리길4번길 49-1  201호 (교문동),,구리시청,2021-05-07
건강기능식품일반판매업,구리글로벌센터,경기도 구리시 갈매순환로 92  404호 (갈매동),,구리시청,2021-05-07
건강기능식품일반판매업,일화로지스,경기도 구리시 한다리길4번길 54  1층 (교문동),032 -889 -4009,구리시청,2021-05-07
건강기능식품일반판매업,프리챌,경기도 구리시 검배로120번길 21-20  302호 (토평동),070 -8958-3754,구리시청,2021-05-07
건강기능식품일반판매업,샬롬선물백화점,경기도 구리시 장자대로86번길 46  금호프라자2 301호 (수택동),031 -551 -5602,구리시청,2021-05-07
건강기능식품일반판매업,팜즙(Farm zub),경기도 구리시 체육관로161번길 43  104동 1001호 (교문동  B.J빌아파트),031 -551 -9970,구리시청,2021-05-07
건강기능식품일반판매업,씨제이건강,경기도 구리시 경춘북로251번길 71  1층 (갈매동),,구리시청,2021-05-07
건강기능식품일반판매업,(주)다온글로비스,경기도 구리시 벌말로70번길 32-19 (토평동  1층),,구리시청,2021-05-07
건강기능식품일반판매업,코리아레이저,경기도 구리시 원수택로64번길 25 (수택동), 031- 563-3723,구리시청,2021-05-07
건강기능식품일반판매업,굿모닝나이스데이,경기도 구리시 검배로 55  210호 (수택동  하이스트빌),,구리시청,2021-05-07
건강기능식품일반판매업,종근당건강 헬스벨스토리 구리교문점,경기도 구리시 장자대로13번길 13  1층 (교문동),,구리시청,2021-05-07
건강기능식품일반판매업,미소,경기도 구리시 안골로7번길 30 (교문동  1층),,구리시청,2021-05-07
건강기능식품일반판매업,무지개연합의원,경기도 구리시 동구릉로136번길 57  2층 (인창동  롯데마트),031 -568 -0511,구리시청,2021-05-07
건강기능식품일반판매업,유기농 스킨케어,경기도 구리시 건원대로34번길 27 (인창동  세신종합상가 216호),031 -565 -1566,구리시청,2021-05-07
건강기능식품일반판매업,통통걸,경기도 구리시 안골로20번길 8-25 (교문동),031 -568 -1651,구리시청,2021-05-07
건강기능식품일반판매업,주식회사 주스앤그로서리,경기도 구리시 딸기원로 23-17  대신나이스빌 1층 101호 (교문동),,구리시청,2021-05-07
건강기능식품일반판매업,구리성심신경외과의원,경기도 구리시 이문안로 128 (토평동 새롬프라자상가3층),,구리시청,2021-05-07
건강기능식품일반판매업,허브23 구리대리점,경기도 구리시 경춘로227번길 6-20 (인창동 (1층)),031 -554 -9580,구리시청,2021-05-07
건강기능식품일반판매업,엔젯블루,경기도 구리시 아차산로487번길 27  106동 1001호 (교문동),,구리시청,2021-05-07
건강기능식품일반판매업,큐리온,경기도 구리시 아차산로487번길 27  106동 101호 (교문동  아차산어울림아파트),,구리시청,2021-05-07
건강기능식품일반판매업,생그린구리TOP지사,경기도 구리시 안골로57번길 36-3  3층 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,(주)애플플러스,경기도 구리시 벌말로70번길 92-20  2층 (토평동),,구리시청,2021-05-07
건강기능식품일반판매업,김수림S,경기도 구리시 검배로72번길 56-13  302호 (수택동  진성하이츠빌),,구리시청,2021-05-07
