지형지물부호,지번주소,X좌표,Y좌표,데이터기준일
지류,경기도 광주시 도척면 방도리109번지,37.27380736,127.3358188,2019-12-30
지류,경기도 광주시 태전동467-32번지,37.39421279,127.2096807,2019-12-30
지류,경기도 광주시 남종면 수청리342-1번지,37.51212722,127.3686928,2019-12-30
지류,경기도 광주시 초월읍 학동리53-2번지,37.38961875,127.3378159,2019-12-30
지류,경기도 광주시 곤지암읍 신촌리125-10번지,37.32986633,127.3967695,2019-12-30
지류,경기도 광주시 남한산성면 오전리308-9번지,37.45562509,127.2280139,2019-12-30
지류,경기도 광주시 남한산성면 불당리83-2번지,37.45784553,127.2121777,2019-12-30
지류,경기도 광주시 곤지암읍 삼합리46-2번지,37.37924242,127.4438455,2019-12-30
지류,경기도 광주시 곤지암읍 이선리5-79번지,37.35462818,127.4313389,2019-12-30
지류,경기도 광주시 오포읍 능평리522-9번지,37.35061353,127.1592429,2019-12-30
지류,경기도 광주시 곤지암읍 곤지암리393-3번지,37.35315045,127.3441069,2019-12-30
지류,경기도 광주시 도척면 추곡리186번지,37.28032913,127.2918158,2019-12-30
지류,경기도 광주시 곤지암읍 장심리339-1번지,37.37289666,127.4044649,2019-12-30
지류,경기도 광주시 삼동364번지,37.41566289,127.1903186,2019-12-30
지류,경기도 광주시 도척면 노곡리183번지,37.30359596,127.3338654,2019-12-30
지류,경기도 광주시 곤지암읍 곤지암리509-8번지,37.33903595,127.338643,2019-12-30
지류,경기도 광주시 오포읍 매산리산150-1번지,37.36286367,127.2498257,2019-12-30
지류,경기도 광주시 남종면 수청리438-1번지,37.51839072,127.368889,2019-12-30
지류,경기도 광주시 오포읍 매산리408-1번지,37.3611515,127.2685484,2019-12-30
지류,경기도 광주시 남한산성면 오전리181-2번지,37.44691214,127.225323,2019-12-30
지류,경기도 광주시 초월읍 지월리671-4번지,37.40460614,127.2884701,2019-12-30
지류,경기도 광주시 남한산성면 하번천리427-10번지,37.44069264,127.2851684,2019-12-30
지류,경기도 광주시 쌍령동441번지,37.39857466,127.2687051,2019-12-30
지류,경기도 광주시 남종면 수청리570번지,37.51343106,127.3681841,2019-12-30
지류,경기도 광주시 곤지암읍 봉현리80-29번지,37.33924893,127.4097296,2019-12-30
지류,경기도 광주시 도척면 궁평리321-2번지,37.34066037,127.3246908,2019-12-30
지류,경기도 광주시 도척면 유정리173-2번지,37.29066877,127.3297159,2019-12-30
지류,경기도 광주시 회덕동245번지,37.43057444,127.239039,2019-12-30
지류,경기도 광주시 남종면 귀여리249번지,37.51336074,127.3181638,2019-12-30
지류,경기도 광주시 곤지암읍 부항리324-12번지,37.35993814,127.4007402,2019-12-30
지류,경기도 광주시 초월읍 신월리546번지,37.40165751,127.3140924,2019-12-30
지류,경기도 광주시 퇴촌면 우산리280-24번지,37.43348968,127.358561,2019-12-30
지류,경기도 광주시 남종면 수청리1055-1번지,37.50157292,127.368182,2019-12-30
지류,경기도 광주시 퇴촌면 도수리483번지,37.47829478,127.3219643,2019-12-30
지류,경기도 광주시 도척면 진우리779번지,37.31983751,127.3491346,2019-12-30
지류,경기도 광주시 남한산성면 불당리95-1번지,37.45674263,127.2075888,2019-12-30
지류,경기도 광주시 곤지암읍 부항리410번지,37.35742604,127.3870221,2019-12-30
지류,경기도 광주시 퇴촌면 관음리813-1번지,37.46428777,127.3212201,2019-12-30
지류,경기도 광주시 퇴촌면 원당리180번지,37.43512572,127.3206807,2019-12-30
지류,경기도 광주시 초월읍 신월리153-5번지,37.39659764,127.3163859,2019-12-30
지류,경기도 광주시 곤지암읍 이선리322번지,37.35480298,127.4190675,2019-12-30
지류,경기도 광주시 퇴촌면 도수리272-1번지,37.47080808,127.3332919,2019-12-30
지류,경기도 광주시 탄벌동300-2번지,37.4258065,127.2402509,2019-12-30
지류,경기도 광주시 오포읍 양벌리1048-19번지,37.38766992,127.2497146,2019-12-30
지류,경기도 광주시 퇴촌면 정지리289-1번지,37.44744938,127.3092337,2019-12-30
지류,경기도 광주시 곤지암읍 수양리481-1번지,37.34046041,127.3685268,2019-12-30
지류,경기도 광주시 곤지암읍 건업리574번지,37.39133963,127.4057763,2019-12-30
지류,경기도 광주시 도척면 추곡리61번지,37.27057918,127.2994051,2019-12-30
지류,경기도 광주시 곤지암읍 이선리47번지,37.36266315,127.4288739,2019-12-30
지류,경기도 광주시 오포읍 추자리산4-2번지,37.36926979,127.2217853,2019-12-30
지류,경기도 광주시 곤지암읍 건업리278번지,37.38920899,127.4067643,2019-12-30
지류,경기도 광주시 초월읍 도평리48-8번지,37.39954593,127.3012356,2019-12-30
지류,경기도 광주시 퇴촌면 영동리649번지,37.4835989,127.3703345,2019-12-30
지류,경기도 광주시 퇴촌면 도수리518번지,37.47909812,127.3206341,2019-12-30
지류,경기도 광주시 퇴촌면 도수리628-6번지,37.47265544,127.3143838,2019-12-30
지류,경기도 광주시 초월읍 신월리302-1번지,37.40865605,127.315147,2019-12-30
지류,경기도 광주시 퇴촌면 광동리9-2번지,37.46322722,127.3154306,2019-12-30
지류,경기도 광주시 목동359-21번지,37.37886536,127.1933446,2019-12-30
지류,경기도 광주시 삼동302-3번지,37.41372879,127.2014102,2019-12-30
지류,경기도 광주시 초월읍 대쌍령리253-19번지,37.38723704,127.2921234,2019-12-30
지류,경기도 광주시 곤지암읍 곤지암리25-1번지,37.33942123,127.3629265,2019-12-30
지류,경기도 광주시 장지동131-8번지,37.39131558,127.249125,2019-12-30
지류,경기도 광주시 퇴촌면 영동리453번지,37.47825647,127.3705149,2019-12-30
지류,경기도 광주시 퇴촌면 도마리24-5번지,37.47127856,127.287218,2019-12-30
지류,경기도 광주시 퇴촌면 도마리347번지,37.47170588,127.2744953,2019-12-30
지류,경기도 광주시 초월읍 신월리272-1번지,37.40774735,127.3107272,2019-12-30
지류,경기도 광주시 태전동441-9번지,37.39887716,127.2038151,2019-12-30
지류,경기도 광주시 삼동319번지,37.42145623,127.1995093,2019-12-30
지류,경기도 광주시 남종면 검천리17-1번지,37.53022044,127.3602472,2019-12-30
지류,경기도 광주시 삼동395번지,37.41579621,127.1940113,2019-12-30
