업소명,업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,객실수,위도,경도,데이터기준일자
가랑,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 181-76,경기도 가평군 상면 임초리 572-6,3,37.76236655,127.366519,2021-06-09
빌라두라끄,민박,내국인+외국인,없음,경기도 가평군 설악면 자잠로 281,경기도 가평군 설악면 사룡리  184-9,2,37.69842913,127.4895753,2021-06-09
아스포텔민박펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 고재길 241-40,경기도 가평군 청평면 고성리 288,4,37.70513502,127.5109362,2021-06-09
나무나무,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 459,경기도 가평군 가평읍 두밀리 194,5,37.81515975,127.4520549,2021-06-09
산골여행,민박,내국인+외국인,없음,경기도 가평군 북면 논남기길 492-9,경기도 가평군 북면 적목리 320-7,4,37.96889084,127.4124717,2021-06-09
그라시아,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 326-44(A동),경기도 가평군 가평읍 금대리 139-13(A동),3,37.75633429,127.5372019,2021-06-09
연인산풍경,민박,내국인+외국인,없음,경기도 가평군 조종면 연인산로 520,경기도 가평군 조종면 마일리 360-2,2,37.85097806,127.377408,2021-06-09
리치하우스,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2545,경기도 가평군 북면 도대리 492-8,5,37.96457457,127.4671674,2021-06-09
파인하우스,민박,내국인+외국인,없음,경기도 가평군 북면 논남기길403번길 29,경기도 가평군 북면 적목리 298-6,1,37.96614055,127.4234839,2021-06-09
청하펜션 주말농원,민박,내국인+외국인,없음,경기도 가평군 청평면 청군로 32,경기도 가평군 청평면 하천리 517-1,6,37.74848387,127.4251729,2021-06-09
유명산미란츠펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 61-98,경기도 가평군 설악면 가일리 215-17,3,37.5968119,127.4939168,2021-06-09
소풍펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 당목가일길 711,경기도 가평군 가평읍 개곡리 108-1,2,37.87891553,127.5853295,2021-06-09
별이빛나는호수,민박,내국인+외국인,없음,경기도 가평군 청평면 상지로 206,경기도 가평군 청평면 상천리 1501-4,5,37.76860406,127.472727,2021-06-09
하이락펜션,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 354-16,경기도 가평군 상면 행현리 677-5,4,37.75004156,127.3555983,2021-06-09
무지개펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 유명로 1943-47,경기도 가평군 설악면 회곡리 28-10,4,37.68279662,127.4701614,2021-06-09
청평에덴밸리,민박,내국인+외국인,없음,경기도 가평군 상면 깃대봉길 24,경기도 가평군 상면 덕현리 162-25,4,37.75656919,127.4012451,2021-06-09
아쿠아 밸리,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 373,경기도 가평군 가평읍 두밀리 4-10,3,37.81601057,127.461848,2021-06-09
베네스트,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 237,경기도 가평군 상면 행현리 513-4,5,37.75763814,127.3617821,2021-06-09
루펜션,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2593,경기도 가평군 북면 도대리 474-6,3,37.96611424,127.4620095,2021-06-09
라비채,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 394,경기도 가평군 상면 행현리  658-2,7,37.74733405,127.3527545,2021-06-09
골드리버캐슬,민박,내국인+외국인,없음,경기도 가평군 조종면 운악청계로 916,경기도 가평군 조종면 운악리 542-4,3,37.89014567,127.3511058,2021-06-09
어린왕자의나무별,민박,내국인+외국인,없음,경기도 가평군 북면 멱골로 338,경기도 가평군 북면 목동리 318,6,37.91844178,127.5796069,2021-06-09
에코스파펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 326-420,경기도 가평군 가평읍 금대리 55-36,9,37.75805473,127.5405177,2021-06-09
레드펜션 ,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 269-64,경기도 가평군 가평읍 하색리 778-28,6,37.81526419,127.4675745,2021-06-09
쥬얼리 펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 269-101,경기도 가평군 가평읍 두밀리 2-16,6,37.81471389,127.4658365,2021-06-09
몬트샤인 Ⅰ,민박,내국인+외국인,없음,경기도 가평군 설악면 유명로 2080,경기도 가평군 설악면 회곡리 244-4,6,37.69280778,127.4609017,2021-06-09
