구,업종명,사업장명,영업상태,인허가일자,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적(㎡),소재지전체주소,도로명전체주소,데이터기준일자
분당구,일반음식점,명품 숯불숙성삼겹,영업중,2018-06-04,-,-,-,-,27.3,경기도 성남시 분당구 정자동 65-1번지 구미빌딩 1층 108호,"경기도 성남시 분당구 느티로 65, 구미빌딩 1층 108호 (정자동)",2021-03-31
중원구,일반음식점,여섯시,영업중,2018-06-05,-,-,-,-,110.3,경기도 성남시 중원구 성남동 3239 지층,"경기도 성남시 중원구 광명로16번길 4, 지층 (성남동)",2021-03-31
분당구,일반음식점,복인아구찜,영업중,2018-06-08,-,-,-,-,154.86,경기도 성남시 분당구 삼평동 618번지 판교 우림 W-CITY 지하1층 B109호,"경기도 성남시 분당구 판교로255번길 9-22, 판교 우림 W-CITY 지하1층 B109호 (삼평동)",2021-03-31
분당구,일반음식점,푸에르코 정자본점(THE PUERCO),영업중,2018-06-08,-,-,-,-,87.1,경기도 성남시 분당구 정자동 166-1번지 정자역 엠코헤리츠 2단지 1층 B108,"경기도 성남시 분당구 정자일로 140, 정자역 엠코헤리츠 2단지 1층 B108호 (정자동)",2021-03-31
수정구,일반음식점,오징어나라(창곡점),영업중,2018-06-11,-,-,-,-,81.32,"경기도 성남시 수정구 창곡동 547-5 가하빌딩, 1층 106호","경기도 성남시 수정구 위례광장로 21, 가하빌딩 1층 106호 (창곡동)",2021-03-31
분당구,일반음식점,생활맥주 이매점,영업중,2018-06-11,-,-,-,-,31.68,경기도 성남시 분당구 이매동 131-8번지 그린프라자 1층 107-2호,"경기도 성남시 분당구 판교로 446, 그린프라자 1층 107-2호 (이매동)",2021-03-31
중원구,일반음식점,황금회포차,영업중,2018-06-11,-,-,-,-,43.78,경기도 성남시 중원구 성남동 3870번지 1층일부,"경기도 성남시 중원구 제일로35번길 19, 일부1층 (성남동)",2021-03-31
중원구,일반음식점,참새방앗간,영업중,2018-06-12,-,-,-,-,28.38,경기도 성남시 중원구 상대원동 1430번지 1층일부,"경기도 성남시 중원구 둔촌대로425번길 10, 일부1층 (상대원동)",2021-03-31
분당구,일반음식점,라떼마시는꽃사슴,영업중,2018-06-12,-,-,-,-,43.72,경기도 성남시 분당구 정자동 241-12번지 1층 일부,"경기도 성남시 분당구 불곡북로13번길 2, 1(일부)층 (정자동)",2021-03-31
중원구,일반음식점,부안마실골,영업중,2018-06-12,-,-,-,-,24.98,경기도 성남시 중원구 성남동 4190번지 1층,"경기도 성남시 중원구 둔촌대로 79, 1층 (성남동)",2021-03-31
중원구,일반음식점,홍대쌀국수,영업중,2018-07-06,-,-,-,-,73.93,"경기도 성남시 중원구 성남동 3499번지 니즈몰, 지하1층일부","경기도 성남시 중원구 성남대로 1136, 니즈몰 일부지1층 (성남동)",2021-03-31
분당구,일반음식점,밤새노가리,영업중,2018-07-06,-,-,-,-,42.68,경기도 성남시 분당구 야탑동 321-12번지 1층 일부,"경기도 성남시 분당구 야탑로149번길 1, 1(일부)층 (야탑동)",2021-03-31
수정구,일반음식점,더그레이,영업중,2018-07-06,-,-,-,-,61.61,"경기도 성남시 수정구 상적동 95-2번지 외 2필지, 3층 일부","경기도 성남시 수정구 적푸리로 34, 3(일부)층 (상적동)",2021-03-31
분당구,일반음식점,청년분식,영업중,2008-08-12,-,-,-,-,18.9,경기도 성남시 분당구 정자동 69-4번지 1층 일부,"경기도 성남시 분당구 황새울로116번길 20 (정자동, 1층 일부)",2021-03-31
수정구,일반음식점,금강산추어탕,영업중,2000-11-11,-,-,-,-,175.3,경기도 성남시 수정구 수진동 4761번지 1층,"경기도 성남시 수정구 산성대로 65, 1층 (수진동)",2021-03-31
중원구,일반음식점,꼬꼬네포차,영업중,2001-03-22,-,-,-,-,32.89,경기도 성남시 중원구 성남동 3298번지 1층,"경기도 성남시 중원구 광명로 50, 1층 (성남동)",2021-03-31
중원구,일반음식점,또봉이통닭 을지대점,영업중,1999-10-09,-,-,-,-,58.94,경기도 성남시 중원구 은행동 726 (1층),"경기도 성남시 중원구 산성대로540번길 1, 1층 (은행동)",2021-03-31
분당구,일반음식점,꼼생꼼사,영업중,1999-10-11,-,-,-,-,29.86,경기도 성남시 분당구 구미동 186-1 팬덤프라자 1층,"경기도 성남시 분당구 구미로9번길 7 (구미동,팬덤프라자 1층)",2021-03-31
수정구,일반음식점,수진칼국수,영업중,2002-09-10,-,-,-,-,39.78,경기도 성남시 수정구 수진동 273번지 1층,"경기도 성남시 수정구 수정남로54번길 1 (수진동,1층)",2021-03-31
중원구,일반음식점,낙지고을,영업중,2002-09-11,-,-,-,-,81.62,경기도 성남시 중원구 성남동 3508-1 (1층),"경기도 성남시 중원구 성남대로1130번길 9-1, 1층 (성남동)",2021-03-31
분당구,일반음식점,형제닭발&야시장,영업중,2002-09-18,-,-,-,-,82.17,"경기도 성남시 분당구 야탑동 278-4 , 1층","경기도 성남시 분당구 장미로156번길 3-1 (야탑동,, 1층)",2021-03-31
분당구,일반음식점,린야탑점,영업중,2002-07-22,-,-,-,-,180.4,경기도 성남시 분당구 야탑동 352-1 터미널프라자 206호,"경기도 성남시 분당구 성남대로925번길 19 (야탑동,터미널프라자 206호)",2021-03-31
중원구,일반음식점,명륜진사갈비 성남은행점,영업중,2002-07-23,-,-,-,-,107.69,경기도 성남시 중원구 은행동 1553-2번지,"경기도 성남시 중원구 은이로 6, 2층 (은행동)",2021-03-31
중원구,일반음식점,불닭발땡초동대문엽기떡볶이 신흥역점,영업중,2015-04-16,-,-,-,-,116.16,경기도 성남시 중원구 중앙동 1144번지 2층,"경기도 성남시 중원구 산성대로 258-1, 2층 (중앙동)",2021-03-31
중원구,일반음식점,백년불고기물갈비,영업중,2015-04-16,-,-,-,-,67.99,경기도 성남시 중원구 은행동 979번지 1층 일부,"경기도 성남시 중원구 산성대로 538, 1층 (은행동)",2021-03-31
수정구,일반음식점,밥마리 김밥,영업중,2002-08-20,-,-,-,-,34.43,경기도 성남시 수정구 복정동 686-1번지 1층,"경기도 성남시 수정구 복정로 68 (복정동,1층)",2021-03-31
분당구,일반음식점,가장 맛있는 족발,영업중,2003-05-01,-,-,-,-,100.8,"경기도 성남시 분당구 금곡동 147번지 현대아리온오피스텔 1층 35,36호","경기도 성남시 분당구 성남대로172번길 12 (금곡동, 현대아리온오피스텔 1층 35,36호)",2021-03-31
중원구,일반음식점,푸지막 단대오거리점,영업중,1998-11-19,-,-,-,-,206.72,경기도 성남시 중원구 금광동 15번지 행림빌딩 1층,"경기도 성남시 중원구 광명로 299, 1층 (금광동, 행림빌딩)",2021-03-31
분당구,일반음식점,신토불이남원추어탕,영업중,2008-04-18,-,-,-,-,94.1,"경기도 성남시 분당구 야탑동 354-4번지 나인투빌딩 2층 210호, 221호, 222호, 231호","경기도 성남시 분당구 야탑로65번길 8 (야탑동,나인투빌딩 2층 210호, 221호, 222호, 231호)",2021-03-31
분당구,일반음식점,됐소 서현점,영업중,2008-04-21,-,-,-,-,174.25,경기도 성남시 분당구 서현동 88번지 지엔느오피스텔 지하1층 B 102호,"경기도 성남시 분당구 중앙공원로39번길 49 (서현동, 지엔느오피스텔 지하1층 B 102호)",2021-03-31
분당구,일반음식점,10호 그늘집,영업중,2009-01-15,-,-,-,-,93.6,경기도 성남시 분당구 판교동 479-1 남서울골프장5동 1층,"경기도 성남시 분당구 판교백현로 104, 1층 (판교동)",2021-03-31
분당구,일반음식점,토담,영업중,2005-04-15,-,-,-,-,28.78,경기도 성남시 분당구 정자동 19-5번지 3층 일부,"경기도 성남시 분당구 성남대로343번길 12-6 (정자동, 3층 일부)",2021-03-31
분당구,일반음식점,베테랑,영업중,2005-04-15,-,-,-,-,35.69,경기도 성남시 분당구 수내동 20-2 외2필지 초림프라자121호일부,"경기도 성남시 분당구 백현로101번길 17 (수내동,외2필지 초림프라자121호일부)",2021-03-31
