시군명,명소명,주소,유형,용도,데이터기준일자,정제도로명주소,정제지번주소,정제우편번호,정제WGS84위도,정제WGS84경도
오산시,물향기수목원_산림전시관,경기도 오산시 수청동 332-4,공간환경,문화 및 집회시설,2021-02-19,경기도 오산시 청학로 211,경기도 오산시 수청동 332-4,18118,37.1662479454,127.0543477507
오산시,오산스포츠센터,경기도 오산시 오산동 49,건축물,운동시설,2021-02-19,경기도 오산시 경기동로 15,경기도 오산시 오산동 49,18131,37.1568594226,127.0726136232
용인시,한국민속촌,경기도 용인시 기흥구 보라동 107,공간환경,관광휴게 시설,2021-02-19,,경기도 용인시 기흥구 보라동 107,17075,,
용인시,지앤 아트 스페이스,경기도 용인시 기흥구 상갈동 150-7,건축물,문화 및 집회시설,2021-02-19,경기도 용인시 기흥구 백남준로 7,경기도 용인시 기흥구 상갈동 150-7,17068,37.2699167734,127.1101319262
용인시,백남준아트센터,경기도 용인시 기흥구 상갈동 85,건축물,문화 및 집회시설,2021-02-19,,경기도 용인시 기흥구 상갈동 85,17073,37.2677369554,127.1084627384
용인시,용인 솔마당집,경기도 용인시 역북동 377-6,건축물,단독주택,2021-02-19,경기도 용인시 처인구 금학로241번길 13,경기도 용인시 역북동 377-6,17046,37.2393717885,127.1906754953
용인시,타운하우스 ‘웰가’,경기도 용인시 처인구 원삼면 문촌리 440-30,건축물,제1종 근린생활 시설,2021-02-19,경기도 용인시 처인구 원삼면 문촌로219번길 70-36,경기도 용인시 처인구 원삼면 문촌리 440-30,17169,37.1644110357,127.2844774106
의왕시,의왕시 중앙도서관(책마루),경기도 의왕시 고천동 160-3,건축물,교육연구 시설,2021-02-19,,경기도 의왕시 고천동 160-3,16075,37.3419515532,126.9695571857
의왕시,계원예술학교,경기도 의왕시 내손동 산125,건축물,교육연구 시설,2021-02-19,,경기도 의왕시 내손동 산125,,,
의왕시,학의제,경기도 의왕시 학의동 672,건축물,단독주택,2021-02-19,,경기도 의왕시 학의동 672,16016,37.3705905132,127.0025545716
이천시,이천장애인체육종합훈련원,경기도 이천시 신둔면 도암리 산2-73,건축물,운동시설,2021-02-19,경기도 이천시 신둔면 석동로 167,경기도 이천시 신둔면 도암리 산2-73,17300,37.3311050859,127.4338178337
파주시,파주출판단지_파주출판단지,경기도 파주시 교하면 문발리,공간환경,건축물군,2021-02-19,,경기도 파주시 교하면 문발리,,,
파주시,파주출판단지_열린책들 사옥,경기도 파주시 교하면 문발리 499-3,공간환경,업무시설,2021-02-19,경기도 파주시 문발로 253,경기도 파주시 교하면 문발리 499-3,10881,37.7166509088,126.6890945580
파주시,파주출판단지_아름드리미디어,경기도 파주시 교하읍 문발리 511-2,공간환경,공장,2021-02-19,경기도 파주시 문발로 214-12,경기도 파주시 교하읍 문발리 511-2,10881,37.7131193176,126.6880098421
파주시,파주출판단지_도서출판 열림원,경기도 파주시 교하읍 문발리 513-15,공간환경,공장,2021-02-19,,경기도 파주시 교하읍 문발리 513-15,10881,37.7089071496,126.6875679756
파주시,파주출판단지_중앙입시교육연구원,경기도 파주시 교하읍 문발리 514-8,공간환경,공장,2021-02-19,경기도 파주시 광인사길 91,경기도 파주시 교하읍 문발리 514-8,10881,37.7117697510,126.6857441612
파주시,파주출판단지_탄탄스토리하우스,경기도 파주시 교하읍 문발리 519-1,공간환경,공장,2021-02-19,경기도 파주시 회동길 130,경기도 파주시 교하읍 문발리 519-1,10881,37.7080352094,126.6879064925
오산시,물향기수목원_물향기수목원,경기도 오산시 수청동 332-4,공간환경,공원,2021-02-19,경기도 오산시 청학로 211,경기도 오산시 수청동 332-4,18118,37.1662479454,127.0543477507
용인시,헤르마 주차빌딩,경기도 용인시 기흥구 보정동 1190,건축물,자동차 관련시설,2021-02-19,경기도 용인시 기흥구 죽전로15번길 8-19,경기도 용인시 기흥구 보정동 1190,16897,37.3211649572,127.1113571773
용인시,보정성당,경기도 용인시 기흥구 보정동 1302,건축물,종교시설,2021-02-19,경기도 용인시 기흥구 신촌로73번길 24,경기도 용인시 기흥구 보정동 1302,16904,37.3086186436,127.1116700265
